loc,year,lat,lng,total,civilians,children
Asori,2005,32.974702,70.251646,6,2,2
Asori,2010,32.974702,70.251646,13,7,1
Aziz Khel,2009,33.084063,70.206671,3,3,1
Boya,2010,32.944149,69.900169,13,8,2
Boya,2010,32.944149,69.900169,7,5,3
Damadola,2006,34.805556,71.466667,13,10,5
Damadola,2006,34.805556,71.466667,81,80,68
Damadola,2008,34.805556,71.466667,12,4,1
Danda Darpakhel,2008,33.037625,70.051998,17,11,5
Danda Darpakhel,2008,33.037625,70.051998,8,7,7
Danda Darpakhel,2009,33.037625,70.051998,17,9,6
Danda Darpakhel,2010,33.037625,70.051998,20,7,3
Danda Darpakhel,2010,33.037625,70.051998,5,4,4
Darga Mandi,2009,33.040435,70.047863,10,5,3
Darga Mandi,2010,33.040435,70.047863,5,5,1
Ganki Khel,2009,32.288221,69.524789,5,5,3
Ghundikala,2008,32.976448,70.244737,6,2,1
Ghundikala,2008,32.976448,70.244737,5,1,1
Hamzoni,2012,32.97364,69.983339,4,1,1
Kaniguram,2009,32.5181,69.7847,12,0,4
Kari Kot,2004,32.326451,69.477754,6,2,2
Khadar Khel,2009,32.97355,69.62063,13,8,3
Khadezai,2009,33.640696,70.775776,10,5,3
Khushali,2008,32.938927,70.247355,12,4,2
Machi Khel,2009,33.030398,70.247011,3,3,1
Makeen,2009,32.621,69.839367,60,18,10
Miram Shah,2008,33.00053,70.065479,12,3,2
Miram Shah,2011,33.00053,70.065479,2,3,1
Mohammad Khel,2008,32.957221,69.885192,3,3,1
Mohammad Khel,2008,32.957221,69.885192,17,7,3
Mosaki,2005,32.965701,70.274498,8,3,2
Mosaki,2010,32.965701,70.274498,5,1,1
Narsi Khel,2009,33.030398,70.247011,25,1,1
Norak,2011,32.980948,70.171738,2,2,2
Pir Keley,2010,33.074677,70.144304,2,1,1
Sanzali,2010,32.963091,69.593711,6,1,1
Shaktoi,2007,32.6903,70.0069,8,8,1
Spinwan,2011,33.173695,70.401978,20,5,3
Tabbi,2010,32.947066,70.148732,5,5,1
Tappi,2010,32.94694,70.147083,5,5,1
Zeraki,2009,32.968491,70.233437,7,9,1
