Strike,Date,Year,Tribal Agency,Location,Latitude,Longitude,Time Period,Minimum All Targets,Maximum All Targets,Minimum Domestic Buildings,Maximum Domestic Buildings,Minimum Religious Buildings,Maximum Religious Buildings,Minimum Other Buildings,Maximum Other Buildings,Minimum vehicles,Maximum vehicles,Strucutral Damage,Minimum Number of Missiles Reported Fired,Maximum Number of Missiles Reported FIred,Minimum Total Reported Killed,Maximum Total Reported Killed,Minimum Civilians Reported Killed,Maximum Civilians Reported Killed,Minimum Children Reported Killed,Maximum Children Reported Killed,Minimum Injured,Maximum Injured
B1,17/06/2004,2004,SWA,Kari Kot,32.326451,69.477754,Evening,1,1,1,1,0,0,0,0,0,0,-,Unreported,Unreported,6,8,2,2,2,2,1,1
B2,8/5/05,2005,NWA,Toorikhel,32.938927,70.247355,Night,1,1,0,0,0,0,0,0,1,1,-,Unreported,Unreported,2,2,0,0,0,0,0,0
B3,5/11/05,2005,NWA,Mosaki,32.965701,70.274498,Night,1,1,1,1,0,0,0,0,0,0,4,Unreported,Unreported,8,8,3,8,2,3,1,1
B4,1/12/05,2005,NWA,Asori,32.974702,70.251646,Night,1,1,1,1,0,0,0,0,0,0,-,Unreported,Unreported,6,6,2,3,2,2,0,0
B5,13/01/2006,2006,Bajaur,Damadola,34.805556,71.466667,Night,2,3,2,3,0,0,0,0,0,0,4,Unreported,Unreported,13,22,10,18,5,6,0,0
B6,30/10/2006,2006,Bajaur,Damadola,34.805556,71.466667,Morning,1,2,0,0,1,2,0,0,0,0,4,3,3,81,83,80,82,68,70,3,3
B7,16/01/2007,2007,SWA,Shaktoi,32.6903,70.0069,Night or morning,3,3,3,3,0,0,0,0,0,0,4,4,6,8,8,8,8,1,1,0,0
B8,27/04/2007,2007,NWA,Saidgai,32.9328,70.4,Night,0,3,0,1,0,2,0,0,0,0,4,6,6,3,4,3,4,0,0,3,9
B9,19/06/2007,2007,NWA,Mami Rogha,32.834167,69.860833,Morning,1,4,1,3,0,1,0,0,0,0,4,Unreported,Unreported,20,34,0,34,0,0,10,15
B10,2/11/07,2007,NWA,Danda Darpakhel,33.037625,70.051998,Afternoon,1,4,1,1,0,0,0,0,0,3,4,2,2,5,10,0,0,0,0,6,12
B11,3/12/07,2007,Bannu,Jani Khel,32.79861,70.50639,Morning,1,1,1,1,0,0,0,0,0,0,-,Unreported,Unreported,0,0,0,0,0,0,1,1
B12,29/01/2008,2008,NWA,Khushali,32.938927,70.247355,Night,2,2,2,2,0,0,0,0,0,0,4,Unreported,Unreported,12,15,4,6,2,3,1,2
B13,28/02/2008,2008,SWA,Azam Warsak,32.289444,69.425556,Night,1,2,1,1,0,1,0,0,0,0,4,3,3,10,13,0,0,0,0,6,16
B14,16/03/2008,2008,SWA,Dhook Pir Bagh,32.273128,69.552383,Afternoon,1,1,1,1,0,0,0,0,0,0,4,Unreported,Unreported,18,20,0,4,0,0,5,9
B15,14/05/2008,2008,Bajaur,Damadola,34.805556,71.466667,Evening,1,4,1,2,0,2,0,0,0,0,4,2,2,12,20,4,6,1,4,9,9
B16,14/06/2008,2008,SWA,Makeen,32.621,69.839367,,1,1,1,1,0,0,0,0,0,0,-,3,3,1,1,0,1,0,0,0,0
B17,28/07/2008,2008,SWA,Zeralita,32.289444,69.425556,Night,2,3,1,1,1,2,0,0,0,0,-,2,4,7,12,1,5,0,2,3,3
B18,12/8/08,2008,SWA,Bhaggar,32.487348,69.316923,Night,1,2,1,2,0,0,0,0,0,0,-,4,4,12,25,0,5,0,0,0,4
B19,20/08/2008,2008,SWA,Zari Noor,32.318292,69.522042,Evening,1,1,1,1,0,0,0,0,0,0,4,2,2,6,12,0,0,0,0,5,5
B20,27/08/2008,2008,SWA,Ganki Khel,32.288221,69.524789,Night,1,1,1,1,0,0,0,0,0,0,-,1,1,0,0,0,0,0,0,4,4
B21,30/08/2008,2008,SWA,Ganki Khel,32.288221,69.524789,Afternoon,1,4,1,1,0,0,0,0,0,3,4,1,2,4,5,0,0,0,0,4,4
B22,30/08/2008,2008,NWA,Ghundikala,32.976448,70.244737,Afternoon,1,1,1,1,0,0,0,0,0,0,3,2,2,6,11,2,9,1,4,2,8
B23,2/9/08,2008,NWA,Mohammad Khel,32.957221,69.885192,,1,1,1,1,0,0,0,0,0,0,-,Unreported,Unreported,0,10,0,0,0,0,0,1
